Year,Month,BrCode,BrName,Zone,PrCode,PrName,Qty,SaleAmount (ExVat)
2022,9,1011,THONGLOR,City,0253348,KOON แป้งไดฟูกุสำเร็จรูป 800G,1.,242.06
2022,9,1012,GRANDCANAL,Residential,0253348,KOON แป้งไดฟูกุสำเร็จรูป 800G,1.,242.06
2022,9,1020,RATCHAPRUEK,Residential,0253348,KOON แป้งไดฟูกุสำเร็จรูป 800G,1.,242.06
2022,9,1021,PHUKET,Provincial,0253348,KOON แป้งไดฟูกุสำเร็จรูป 800G,2.,484.12
2022,9,1022,KASET-NAWAMIN,Residential,0253348,KOON แป้งไดฟูกุสำเร็จรูป 800G,4.,968.24
2022,9,1026,SENA,Residential,0253348,KOON แป้งไดฟูกุสำเร็จรูป 800G,2.,484.12
2022,9,1036,RAMA3,Residential,0253348,KOON แป้งไดฟูกุสำเร็จรูป 800G,1.,242.06
2022,9,1038,PESEO KAN,Provincial,0253348,KOON แป้งไดฟูกุสำเร็จรูป 800G,1.,242.06
2022,9,1039,BOAT LAGOON,Residential,0253348,KOON แป้งไดฟูกุสำเร็จรูป 800G,1.,242.06
2022,9,1040,INDEX HUAHIN,Provincial,0253348,KOON แป้งไดฟูกุสำเร็จรูป 800G,1.,242.06
2022,9,1044,BANGNA,Residential,0253348,KOON แป้งไดฟูกุสำเร็จรูป 800G,2.,484.12
2022,9,1047,LASALLE,City,0253348,KOON แป้งไดฟูกุสำเร็จรูป 800G,3.,726.18
2022,9,1048,LITTLE WALK,Residential,0253348,KOON แป้งไดฟูกุสำเร็จรูป 800G,2.,484.12
2022,9,1003,NICHADA,Residential,0253349,KOON แป้งนวล 200G,1.,55.15
2022,9,1011,THONGLOR,City,0253349,KOON แป้งนวล 200G,1.,55.15
2022,9,1017,CHAENG WATTHANA,Residential,0253349,KOON แป้งนวล 200G,1.,55.15
2022,9,1019,RATCHAYOTHIN,City,0253349,KOON แป้งนวล 200G,1.,55.15
2022,9,1020,RATCHAPRUEK,Residential,0253349,KOON แป้งนวล 200G,1.,55.15
2022,9,1022,KASET-NAWAMIN,Residential,0253349,KOON แป้งนวล 200G,2.,110.30
2022,9,1024,SAMMAKORN,Residential,0253349,KOON แป้งนวล 200G,1.,55.15
2022,9,1030,K-VILLAGE,City,0253349,KOON แป้งนวล 200G,2.,110.30
2022,9,1033,PESEO-RAM,Residential,0253349,KOON แป้งนวล 200G,1.,55.15
2022,9,1036,RAMA3,Residential,0253349,KOON แป้งนวล 200G,1.,55.15
